speaker,speaker_confidence,text,target,sentiment,category,summary
성해은,0.99,왜 이렇게 늦게왔어?,None,neutral,question,상대방의 도착 시간에 대한 질문
정규민,0.99,그러게...춥다 밖에 그치? 휴지 없나?,,neutral,statement,날씨가 춥다는 언급과 휴지를 찾는 발언
성해은,0.99,(눈물을 흘리며) 보고 싶었어.,None,negative,attention,보고 싶었다는 말에서 그리움과 슬픔이 느껴짐.
정규민,0.99,(애써 표정 갈무리하며)잘 지냈어? 그만 울어. 나까지 울리겠다.,None,positive,comfort,"정규민이 상대방을 위로하며 잘 지냈는지 묻고, 울지 말라고 달램."
성해은,0.99,너가 웃어줄지 아닐지 궁금했거든. 웃어줘서 고마워.,None,positive,gratitude,상대방이 웃어준 것에 대한 고마움을 표현함.
정규민,0.99,나도 보고 싶었어. 네가 어떻게 지내는 지도 궁금하고. 어땠어? 처음에 이거(환승연애 프로그램) 연락받고 어땠어?,성해은,positive,attention,"성해은에 대한 그리움과 궁금함을 표현하며, 프로그램 출연 제안을 받았을 때의 심경을 질문."
성해은,0.99,너 전화가 놀랐지. 생전 울리지도 않던 정규민이 휴대폰 화면에 뜨니까,정규민,negative,attention,정규민의 갑작스러운 연락에 놀람과 당황스러움을 표현.
정규민,0.99,내 전화번호 저장은 돼 있었어?,None,neutral,question,상대방에게 자신의 전화번호 저장 여부를 묻는 질문
성해은,0.99,당연하지 너는 지웠어?,None,neutral,question,상대방에게 무언가를 지웠는지 묻는 질문
정규민,0.99,"나 있어, 그대로.",정규민,neutral,self_reference,자신의 존재를 언급하는 발언
성해은,0.99,당연하지. 난 원래 안 지우잖아.,None,neutral,statement,상대방의 이전 행동에 대한 언급.
정규민,0.99,근데 그래도 내가 생각했던 것보다는 너 긴장 안 하는 것 같은데? 괜찮은 것 같은데?,None,positive,None,상대방의 긴장 상태에 대해 긍정적으로 평가하며 안심시키는 발언
성해은,0.99,많이 컸지?,None,neutral,unclassified,상대방의 변화에 대한 인지 또는 감상 표현
정규민,0.99,진짜 많이...자랐네. 00:11:14 우리가 나이가 진짜 많이 먹었다.,정규민,neutral,self_reflection,시간의 흐름에 대한 정규민의 자각과 관련된 발언
성해은,0.99,그치? 진짜 우리 21살에 만났는데 29살이야...!,None,neutral,none,화자는 상대방과 처음 만났을 때의 나이를 언급하며 현재 나이를 말하고 있다.
정규민,0.99,그러니까... 2014년 1월에 21살 때거든요. 미팅에서 만났어요. 4대4였던 걸로 기억합니다.,None,neutral,event_description,"2014년 1월, 21살 때 미팅에서 처음 만난 상황을 설명함."
성해은,0.99,"스무 살 때 아무랑도 연애 한 번도 안 해보고, 아 스무한 살 때는 드디어 제발 연애 한 번 하자 하고 과팅 처음 들어오는 거를 처음 나갔어요.",None,neutral,experience,"스무 살, 스무한 살 때 연애 경험에 대한 회상."
정규민,0.99,파트너를 보통 정하잖아요. 소지품으로 했던 것 같아요. 좀 올드스쿨하지만 뭔가 하나가 그 친구 거 같은 거예요.,None,neutral,memory,과거 파트너 선정 방식에 대한 회상
성해은,0.99,제가 니베아 립밤을 했었거든요. 그걸 어떻게 근데 규민이가 골라가지고 저 진짜 제발 제발 내꺼 골라라 골라라 이렇게 하고 있었는데,정규민,positive,attention,정규민이 자신의 립밤을 골라주길 바라는 마음을 드러냄.
정규민,0.99,확실히 뭔가 느낌이 와서 뽑았어요. 순수하다 귀엽다 이런 느낌을 많이 받았었던 것 같아요.,성해은,positive,appearance_evaluation,상대방의 순수하고 귀여운 느낌에 호감을 표현함.
성해은,0.99,한강에서 규민이가 엄청 망설이면서 우리 만날래? 이렇게 했었던 것 같아요. 내 손 잡아서 자기 주머니에 넣었을 때 그 안에 핫팩이 있었거든요. 그 온기가...그 온기와 감동이 아직까지 남아있어요.,정규민,positive,attention,정규민과의 과거 데이트 회상하며 감동을 느낌.
정규민,0.99,그게 군대 가기 80일 전이었던 것 같아요 그래서 나 군 입대까지 얼마 남지 않았는데 지금 뭐 이렇게 얘기해서 미안하지만 우리 만날 수 있을까? 괜찮을까? 라고 했는데 해은이가 고민을 하다가,성해은,neutral,attention,군대 가기 전 성해은에게 만남을 제안했던 과거 회상
성해은,0.99,아 나 사귀어도 되나? 이러면서 한두 시간을 걸으면서 고민하고 2시간 정도 뒤에 오케이.,None,neutral,undetermined,사귀어도 될지 고민하며 오랜 시간 고민 후 결정을 내렸다는 내용.
정규민,0.99,그때부터 만났었던 것 같아요. 첫사랑이라고 하면 될 것 같아요.,None,neutral,attention,과거 연애에 대한 회상
성해은,0.99,"21살 때 규민이가 첫 남자친구예요. 규민이가 군대 가기 전 까지 그 두 달, 세 달 동안의 데이트가 눈물의 데이트였어요.",정규민,negative,attention,"정규민이 첫 남자친구였고, 군대 가기 전 데이트가 눈물의 데이트였다고 회상하며 슬픔을 표현함."
정규민,0.99,"해은이와 거의 매일 만났어요. 거의 군대 가기 전까지 일주일에 4번 이상은 만난 것 같아요. 해은이가 군대 면회를 정말 한 번도 안 빠지고, 저 보려고 매 주말마다 왔던 것 같아요.",성해은,positive,attention,성해은과의 과거 잦은 만남과 면회에 대한 회상
성해은,0.99,"딱 1호선의 끝과 끝으로, 아예 주말에 출근하듯이 매일매일 왕복 4시간. 금요일 밤에는 규민이 면회 갈 생각에 잠을 못 잤어요. 그 이틀 데이트 한 걸로 또 일주일 버티고 그 힘으로 매주 지냈어요. 군대 면회실에서 알콩달콩 그냥 대화하고 같이 있기만 해도 너무 좋은 거죠. 그 시간이 빨리 가기만을 일단 기다렸고 규민이와 헤어질 수 없으니까 (면회실에 온 규민을 만나며)아 귀여워!",정규민,positive,attention,"성해은은 정규민 면회를 갈 생각에 설레고, 면회에서 함께 있는 것만으로도 행복감을 느낌. 정규민을 귀여워함."
정규민,0.99,군인 시절에 그 친구가 인터넷 편지 써줬던 것도 다 있고 손편지도 다 있고. 진짜 많아요 정말 많은데,None,positive,attention,"군인 시절 친구가 편지를 많이 써줬다는 내용으로, 친구에 대한 고마움을 표현하고 있다."
성해은,0.99,기념일이면 도시락 싸서 가고 크리스마스 선물 사 갔고.,정규민,neutral,attention,"과거에 기념일 도시락, 크리스마스 선물 등을 챙겨줬던 경험을 회상하는 발언."
정규민,0.99,너무 고마웠죠 처음에 사실 너무 보고 싶었는데 매번 와주니까 너무 고맙고 해은이가 노력을 많이 했었던 것 같아요.,성해은,positive,gratitude,"해은에게 고마움을 표현하며, 보고 싶었다는 감정을 전달하고, 해은의 노력을 인정함."
성해은,0.99,되게 좋은 추억으로 남아있어요. 그냥 나는 현실 상황 플러스 네가 여기 있는 게 안 믿겨. 이거 아니었으면 나랑 밥 안 먹었을 거잖아. 너랑 오래 만나서 그런가 너 생각이 지워지진 않더라.,정규민,positive,attention,"정규민과의 과거 추억을 회상하며 현재 함께 있는 상황에 대한 믿기지 않음과 감사함을 표현하고, 정규민에 대한 그리움을 간접적으로 드러냄."
정규민,0.99,"그치, 어디를 가던지 다 있잖아 추억이.",,neutral,observation,어디를 가든 추억이 있다는 일반적인 언급
성해은,0.99,너랑 못 해본 게 너무 많더라고 지금 생각해보니까. 난 좋은 날이나 기념일이나 해주고 싶을 때도 막 아꼈던 게 좀 후회됐어.,정규민,후회,attention,"과거에 정규민에게 더 잘해주지 못했던 것에 대한 후회를 표현하며, 좋은 날이나 기념일에 아꼈던 것들이 후회된다고 말함."
정규민,0.99,난 좋았는데.,None,positive,emotion_polarity,화자가 긍정적인 감정을 표현함
성해은,0.99,좋았어?,None,positive,None,상대방의 상태에 대한 긍정적 반응을 나타내는 발언
정규민,0.99,응,,neutral,response,상대방의 말에 동의하거나 긍정하는 짧은 대답.
성해은,0.99,"제가 승무원 준비할 때가 저의 인생에서 아직까지는 제일 힘들었던 시기라고 생각해요. 규민이한테 뭐라고 말도 못하겠고, 연락을 아예 안 하고 잠수를 타고 있었는데 규민이는 '알았어. 기다릴게. 마음의 준비 다 되면 그때 연락해' 라고 했었는데, 제가 드디어 승무원에 붙은 거예요. 규민아, 만나자 할 말 있어. 라고만 했었는데, 규민이가 그때 그냥 꽃 들고 나와줬어요. 제가 붙었다는 걸 그냥 감지했었대요.",정규민,positive,attention,"승무원 준비 당시 힘들었던 시기에 정규민이 자신을 기다려줬던 것에 대한 고마움을 표현하며, 합격 후 정규민과의 재회 당시 감동적인 순간을 회상하고 있다."
정규민,0.99,"여행을 자주 갔어요. 해은이랑 거의 1년에 한 번씩은 갔던 걸로 기억을 하는데,",성해은,neutral,memory,정규민이 성해은과 과거에 여행을 자주 갔었다는 회상
