speaker,speaker_confidence,text,target,sentiment,category,summary
남희두,0.95,잘지냈어?,None,neutral,greeting,상대방에게 잘 지냈는지 묻는 인사말.
이나연,0.95,ㅎㅎㅎㅎㅎ,,neutral,no_speech,웃음
남희두,0.95,당연히,None,neutral,response,상대방의 말에 동의하는 반응
이나연,0.95,왜 이렇게 살 빠졌어?,None,neutral,question,상대방의 외모 변화에 대한 질문
남희두,0.95,살 많이 빠졌지. 운동 열심히 해서 요즘,None,neutral,appearance,남희두가 자신의 외모 변화에 대해 언급하며 운동을 열심히 하고 있음을 드러냄.
이나연,0.95,되게,,neutral,filler,"문장 중간에 사용된 감탄사로, 특별한 감정이나 의도를 나타내지 않음"
남희두,0.95,응?,,neutral,response,상대방의 발언에 대한 단순 반응
이나연,0.95,멋있어졌다.,None,positive,칭찬,상대방의 외모나 능력에 대해 칭찬하는 발언.
이나연,0.95,왜 이렇게 어색하냐? 오랜만에 봐서 그런가?,None,negative,불만,오랜만에 만난 대상과의 어색함에 대한 불만
남희두,0.95,어색하지 오랜만이니까.,None,neutral,greeting,오랜만에 만난 상황에 대한 어색함을 표현하는 발언
이나연,0.95,딴 사람 같애,None,negative,attention,화자는 누군가가 이전과 달라졌다고 언급하며 부정적인 감정을 드러냄.
이나연,0.95,나도 다른 사람 같아.,None,negative,emotion_polarity,화자가 현재 자신의 상태에 대해 부정적인 감정을 느끼고 있음을 드러냄.
이나연,0.95,나 달라진 거 없어?,None,neutral,attention,자신에게 변화가 있는지 질문하며 상대방의 관심을 유도하는 발언
남희두,0.95,이뻐졌네.,이나연,positive,compliment,외모에 대한 칭찬
남희두,0.95,끝?,None,neutral,question,상대방에게 대화나 상황이 종료되었는지 묻는 질문
남희두,0.95,그럼 뭐 더 있어야 돼?,None,neutral,question,상대방에게 필요한 것이 더 있는지 묻는 질문
이나연,0.95,"아니, 많이 달라졌잖아. 아니, 뭐 머리도 그래.",남희두,negative,appearance,상대방의 외모 변화에 대한 언급과 부정적인 감정 표현
이나연,0.95,그거밖에 없나보네.,None,neutral,none,상황에 대한 체념 또는 단정적인 반응을 보이는 발언
남희두,0.95,"만약, 이게 방송 아니었으면 다 연락했을 것 같아.?",None,neutral,speculation,방송이 아니었다면 출연자들에게 연락했을 것이라는 가정
이나연,0.95,모르겠다.,None,neutral,uncertainty,화자가 현재 상황에 대해 확신이 없거나 판단을 내리기 어려워하는 감정을 표현함.
이나연,0.95,나는 사실 그때는 네가 좀 보고 싶기도 했고,남희두,positive,attention,전 연인에 대한 그리움을 표현하는 발언
남희두,0.95,아 연락하고 싶었어?,이나연,positive,initiative,상대방에게 연락하고 싶었다는 의사를 표현하며 호감을 드러냄.
남희두,0.95,어..,,neutral,response,상대방의 발언에 대한 단순 반응
남희두,0.95,잘 지내는지?,None,neutral,question,상대방의 현재 상태를 묻는 질문
이나연,0.95,"응, 경기 잘했는지?",남희두,neutral,question,남희두의 경기 결과를 묻는 질문
남희두,0.95,"맨 처음 본 거는 수업 듣고 있는데, 강의실 문 열리면서 혼자 마지막으로 들어온 거예요. 회색 카디건에 그 하트 모양 들어간 가디건이 입고, 태블릿 PC랑 이런 거 이렇게 들고 딱 들어오는데, 그 모습이 생생히 기억나요.",이나연,positive,attention,이나연의 첫인상에 대한 긍정적 묘사
남희두,0.95,그게 첫 만남이었어요,None,neutral,memory,첫 만남에 대한 회상
이나연,0.95,희두가 근데 워낙 그 인상이 강하잖아요. 존재감이 강하니까 어딜 가도 좀 눈에 띄었어요.,남희두,positive,attention,남희두의 강한 인상과 존재감에 대해 긍정적으로 언급하며 관심을 표현함.
