performer_id,name,day,message,message_txt,date
5,박원빈,1,이나연,,
5,박원빈,2,이나연,요리하시느라 고생하셨어여!!,
5,박원빈,3,,,
5,박원빈,4,이나연,오늘 춥지 않으셨져?!!,
5,박원빈,5,이지연,다음엔 바다 가요,이지연
5,박원빈,6,성해은,잘 부탁드려요!,
5,박원빈,7,김지수,행복하게 지내야 해!,
5,박원빈,8,이지연,너무 슬퍼하지 않았으면 좋겠어요,
5,박원빈,9,성해은,해는 항상 떠 있는 게 아니잖아요ㅎㅎ 잊지 못할 추억 만들어줘서 감사합니다!!,성해은
5,박원빈,10,김지수,텀블러 거마워ㅎㅋ,
5,박원빈,11,김지수,남은 기간 파이팅이야!!,
5,박원빈,12,이나연,담에 물 한번 주러 가야죠,
5,박원빈,13,김지수,옆에 있어 줄게! 너무 힘들어하지 않았으면 해! 화이팅이야!!,
5,박원빈,14,이지연,바다 같이 보러 가자,김지수
5,박원빈,15,성해은,같이 있어 줘서 고마워요,
5,박원빈,16,김지수,기다릴게,성해은
5,박원빈,17,김지수,마무리 잘해 보자 고생했어,
5,박원빈,18,김지수,나도 응원할게,
6,김지수,1,김태이,요리하구 설거지하느라 고생많았어요ㅜㅜ 파는 제가 썰래요!^^,
6,김지수,2,정규민,,
6,김지수,3,,,
6,김지수,4,정규민,오늘 덕분에 따뜻했어요! 담에 또 빌려줘요!^^,
6,김지수,5,,,
6,김지수,6,정규민,어제 오늘 위로해줘서 고마워여!:) 이제 울보 그만,
6,김지수,7,정규민,오늘 고마웠어용ㅎㅎ 담엔 내가 이겨야지😋,정규민
6,김지수,8,정규민,오늘도 수고 많았어요 :) 초콜릿 야무지게 먹어야지 ㅎㅎ,
6,김지수,9,정규민,전완근 조심!! 다음에 더 맛있는 거 같이 먹어요,정규민
6,김지수,10,박원빈,챙겨줘서 고마워:) 덕분에 든든하다!,
6,김지수,11,박원빈,오늘 수고 많았댜아~ 즐겁게 보내자,
6,김지수,12,남희두,밥 포슬포슬 더 잘 지어볼게! :) 고마워^^,
6,김지수,13,박원빈,웃게 해줘서 고마워!,
6,김지수,14,김태이,따뜻한 물이나 마셔요!,박원빈
6,김지수,15,남희두,오늘 고마웠당:) 즐겁게 보내자!,남희두
6,김지수,16,남희두,휘뚜루뚜 배불렀다! 고마오:),남희두
6,김지수,17,정규민,오빠 너무 고마워요 정말!,
6,김지수,18,정규민,첫날부터 지금까지 힘들어도 먼저 챙겨주고 마음 써줘서 진짜 고마워요:) 오빠가 제일 행복했으면 좋겠다!!!,정규민
7,김태이,1,최이현,챙겨줘서 고마워요,
7,김태이,2,최이현,또 챙겨줘서 고마워요,
7,김태이,3,,,
7,김태이,4,이지연,나한테 괜찮냐고 물어봐줘서 고마워,
7,김태이,5,,,
7,김태이,6,이나연,처음엔 몰랐는데 알아갈수록 많이 매력적인 것 같아😋 다 같이 말고 단둘이 시간 보낼 수 있는 기회가 있으면 좋을 것 같아 앞으로 잘 지내자✌,
7,김태이,7,이나연,다음엔 너 얘기 많이 해줘,이나연
7,김태이,8,이지연,울지 마 힘든 거 있으면 얘기해,
7,김태이,9,이나연,얼굴 보기 힘드네,
7,김태이,10,김지수,오늘 고생했다.,
7,김태이,11,이지연,지연아 행복하자,
7,김태이,12,박나언,나언 씨 앞으로 잘 지내요,
7,김태이,13,박나언,나언 씨 오늘 정말 재밌었어요. 제주도에서도 바다 서핑할 수 있으면 재밌겠다,박나언
7,김태이,14,박나언,"너가 알지 모르겠지만 여기 들어와서 오늘 제일 맛있게 식사했어 그 식사를 너랑 같이해서 정말 즐거웠고, 같이 바다 보면서 드라이브했던 것도 너무 좋았어 다음엔 오픈카로 가자... 너가 잠들지만 않는다면😛",박나언
7,김태이,15,박나언,오늘 즐거웠어 역시 서핑은 바다 서핑이지✌🏻🏄🏻 이제 오픈카 질주만 남은 건가,박나언
7,김태이,16,박나언,바람 핀 소감이 어떠신지,박나언
7,김태이,17,박나언,다음에 무슨 데이트 할까?,
7,김태이,18,박나언,나언아 내일은 장 좀 같이 보자...,
8,이지연,1,정규민,,
8,이지연,2,정규민,,
8,이지연,3,정규민,,
8,이지연,4,정규민,all you need is love예요? 어제 누구한테 문자했어요 ㅡㅡ,
8,이지연,5,박원빈,오늘 너무 고생했어요,박원빈
8,이지연,6,김태이,밥 좀 챙기시고요!!!! 팍팍무라,
8,이지연,7,김태이,오디 갔니? 재미썼니?ㅋ,
8,이지연,8,김태이,너무 많이 생각나서 미안해,
8,이지연,9,남희두,행복해야 행운이 찾아온대요0.<,남희두
8,이지연,10,남희두,뭐라고? 광...,남희두
8,이지연,11,남희두,zalza,
8,이지연,12,남희두,회 32마넌 치 담는 사람 어떰?^^ㅎㅎ,
8,이지연,13,김태이,내 눈에 제일 사랑스러운 사람,
8,이지연,14,김태이,광기인 나예요...,
8,이지연,15,김태이,행복 멀리 없더라!! 행복하자,남희두
8,이지연,16,김태이,내일 바이크 태워주데요,
8,이지연,17,남희두,오빠 행복하자~~ O.< 고마워,
8,이지연,18,김태이,여기까지 오느라 고생 많았어 내가 아는 태이는 사랑받아 마땅한 사람이야,
2,정규민,1,이지연,긍정에너지가 느껴져요,
2,정규민,2,김지수,너무 귀여워요!ㅋㅋㅋ,
2,정규민,3,,,
2,정규민,4,김지수,따뜻한 옷 필요하면 또 얘기해요 :),
2,정규민,5,이나연,재밌었어. 오늘은 적당히 먹고 푹 자!,이나연
2,정규민,6,이나연,어제 달렸으니까 오늘은 적당히 마셔! 오늘 젤리 줍느라 힘들었다,
2,정규민,7,김지수,오늘 고마웠어! 나도 용산 좋아해서 :),김지수
2,정규민,8,김지수,네 거야 초콜릿 많이 먹어 :),
2,정규민,9,이나연,우울해지지 말아요 :),김지수
2,정규민,10,이나연,다음 주에 향수 보러 같이 가자,
2,정규민,11,이나연,꽃반지도 한번 보러와,
2,정규민,12,이나연,내일 드레스 코드는?,
2,정규민,13,이나연,너 거 향 좋더라!,
2,정규민,14,이나연,이제 거짓말 없는 거다?,
2,정규민,15,이나연,얘기 많이 해줘서 고마워:) 앞으로도 잘 맞았으면 좋겠다 타이밍,이나연
2,정규민,16,박나언,내일 아침 같이 먹자!,박나언
2,정규민,17,박나언,조식 서비스 고마워. 내일 아침에도 식사 같이 하실거면 거실로 오시죠:),
2,정규민,18,김지수,오늘 재밌었어 :) 멀미 괜찮긴 했지만 그래도 같이 있는 동안 배려해줘서 고마웠고 아프지 말자!!!,김지수
1,성해은,4,정규민,왜이렇게 일찍 주무세요~! 이제부터는 같이 오래 시간 보내요,
1,성해은,5,정규민,적당히만 재밌게 다녀왔길(놀다오길) 바라 (편집 오류로 인해 두 가지 문자가 나옴.),남희두
1,성해은,6,정규민,좋아 보여,
1,성해은,7,정규민,바쁜 거 같네. 비타민 잘 챙겨 먹어,
1,성해은,8,정규민,비타민 잘 먹어서 고마워 매일 꼭 먹어,
1,성해은,9,박원빈,오늘 넘 좋았어!,박원빈
1,성해은,10,정규민,앞으로는 얘기 더 많이 했으면 좋겠다,
1,성해은,11,정규민,꿈 같은 시간이었어 행복했어 너무너무,
1,성해은,12,정규민,오늘도 많이 볼 수 있어서 좋아!,
1,성해은,13,정규민,늘 기다리고 있어,
1,성해은,14,정규민,너랑 제주 와서 너무 행복해 꼭 너랑 오고 싶었어,
1,성해은,15,정현규,덕분에 오늘은 행복만 했어 고마워!,정현규
1,성해은,16,정현규,너 생각해서라도 이제 안 울게 오늘도 고마워,박원빈
1,성해은,17,정현규,오늘 혼자 심심했지ㅜㅜ 또 나가서 놀면 좋겠다,
1,성해은,18,정현규,내 손이 더 따뜻했을 때가 있다니 뿌듯했다 ! 오늘도 녹여줘서 고마워,정현규
4,남희두,5,성해은,오늘 재밌었어요 :),성해은
4,남희두,6,이나연,방송 늦게까지 고생하네요. 힘내세요,
4,남희두,7,이지연,매력 있어요,
4,남희두,8,이나연,너무 미안해하지 마 많이 울지 말고 꼬북이 되겠다...,
4,남희두,9,이지연,오늘 시간 가는 줄 몰랐네. 푹 자:),이지연
4,남희두,10,이지연,쪽지 귀여웠어,이지연
4,남희두,11,이나연,나연아 너가 울면 난 아무것도 못 하겠어... 울지 말자,
4,남희두,12,이지연,내일 1시!,
4,남희두,13,이지연,설이가 정말 좋아하더라. 고마워 지연아!!,
4,남희두,14,이나연,반가움에 속는 걸까,이나연
4,남희두,15,김지수,덕분에 회 맛있게 먹었어,이지연
4,남희두,16,이나연,난 우리가 확실한 변화가 필요하다고 생각해 결과가 어떤 결과든,김지수
4,남희두,17,이나연,오늘 얘기한 것들 잊지 말았으면 좋겠어,
4,남희두,18,이나연,끝나기 전에 데이트할 시간이 있으려나,
3,이나연,1,박원빈,울지 말아요ㅠㅠ 여기에서는 행복하게 웃는 일들만 가득하길!~,
3,이나연,2,박원빈,,
3,이나연,3,,,
3,이나연,4,김태이,이야기를 나눠볼수록 좋은 사람인 것 같아요. 아는 것도 많고! 앞으로도 얘기 많이 해용 ㅎㅁㅎ,
3,이나연,5,정규민,오빠! 덕분에 행복했어요^^,정규민
3,이나연,6,정규민,오늘 들어와서 좋당!!~ 그립톡 붙여줘!!!,
3,이나연,7,김태이,일할 때 멋있더라~ 행복한 일이 앞으로 많으면 좋겠어!,김태이
3,이나연,8,남희두,넌 나한테 여전히 소중해. 데이트 잘하고 와,
3,이나연,9,정규민,꽃은 내가 잘 기르고 있을게~,정규민
3,이나연,10,정규민,꽃 보러 놀러 와,
3,이나연,11,남희두,오랜만에 이야기하니까 설렌다 너랑 있을 때가 가장 나다운 것 같아,
3,이나연,12,정규민,내일 재밌게 놀쟈~,
3,이나연,13,정규민,오늘 재밌었어 위로도 많이 됐구. 항상 좋은 이야기 해줘서 고마워 오빠. 그리고 미안해,
3,이나연,14,남희두,이렇게 제주도 함께 와서 좋아 비행기 옆자리에 못 타서 아쉬워 갈 때는 옆자리 앉을까?,남희두
3,이나연,15,정규민,힘들 때는 오빠가 생각나서 신기해 오늘 하루 알찼다 그치??,정규민
3,이나연,16,남희두,다음엔 나랑 놀아!,
3,이나연,17,남희두,다음에는 너 마음도 들려줘. 혹시 나만 우리 관계에 진지한 걸까? 희두가 말하는 변화가 내가 생각하는 변화랑 같으면 좋겠어.,
3,이나연,18,남희두,너도 우리가 견고하다고 생각해?? 오늘 이야기로 인해 질투도 많이 나지만 내 마음은 확실해진 것 같아 내일은 꼭 데이트 하자! +정말 둘이 주고받은 말들은 진심이었어?!'_',
10,정현규,14,성해은,누나 내일 잘 부탁해요:),
10,정현규,15,성해은,오늘 너무 즐거웠어요 누나,성해은
10,정현규,16,성해은,누나 울지 마!,성해은
10,정현규,17,성해은,같이 시간 보냈으면 좋겠다,
10,정현규,18,성해은,그래도 오늘 완벽했어 고마워,성해은
9,박나언,12,김태이,내일 데이트 재밌게 해요!,
9,박나언,13,김태이,오늘 생각보다 더 재밌었어요. 제주도 즐겁게 가봐요!,김태이
9,박나언,14,김태이,먹는 거에 진심인데 오해해서 미안ㅋㅋㅋㅋㅋ 오늘 진짜 진짜 재밌었어 그리고 많이 편해졌다 우리,김태이
9,박나언,15,김태이,오늘 바다 서핑으로 당신의 니즈 충족했나!!! 바다서핑 이야기 듣고 젤 먼저 떠올랐어 그리고 아까 데리러 와줘서 고마워😂😂😂 내가 너무 멀리 갔다 그치 오늘도 즐거운 시간 같이 보내서 좋았어,김태이
9,박나언,16,김태이,다음엔 아침 먹고 나가자!! 드라이브 좋았어 지금까지 차에서 가아끔 졸았던 거 미안^^…,김태이
9,박나언,17,김태이,장보러 갈래??,
9,박나언,18,김태이,오빠가 말의 힘을 아는 사람이라서 좋아,
