group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
희두_나연,o5RUW03r3F8,싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고 싸우고 뽀뽀하고... #희두나연,4279468,86662,462,0.8,0.0,0.2,2022-10-29T08:46:29Z
희두_나연,2hdQZO6M99I,[환승연애2] 희두 나연 지연 담요 차이...,3716987,0,390,0.25,0.5,0.25,2022-10-23T18:03:01Z
희두_나연,Q3GfSmB1WCs,1️⃣ 청춘 드라마 그 자체! 과몰입 서사의 장본인들 모셨습니다💜 | 이나연 X 남희두 X 성해은 X 정현규 냉터뷰 1부,3059984,49532,1681,0.25,0.5,0.25,2022-12-29T13:00:09Z
희두_나연,rkWrRPfNJOU,희두가 오다 주운 에르메스 #일단이나연,2636000,24947,198,0.5,0.0,0.5,2025-04-24T15:16:17Z
희두_나연,osJISI5-DMA,2️⃣ 너의 존재가 서사고 개연성이야💚 ‘그 사랑둥이들’의 A to Z | 이나연 X 남희두 X 성해은 X 정현규 냉터뷰 2부,2227859,27821,772,0.5,0.25,0.25,2023-01-05T13:00:11Z
희두_나연,Pt5XCKeI0Kg,나연희두네 강아지 다 같이 나옴. 누가 더 예쁜지 대국민 투표 바랍니다. [강형욱의개스트쇼] EP.8,2147838,26891,501,0.2,0.6,0.2,2023-02-25T03:00:11Z
희두_나연,iYYywOZvfGE,희두 말 오지게 안 듣는 나연이의 최후 #삿포로,2071370,29594,81,0.4,0.4,0.2,2024-04-16T08:30:12Z
해은_규민,0CDa8ahQXc0,[환승연애2] 해은이 추울때 두 남자의 반응 #shorts #환승연애2 #해은 #현규 #규민,1806661,13620,177,0.25,0.5,0.25,2022-10-09T12:40:43Z
해은_규민,3Np3hP7dMCs,[예능숏츠]해은이 앞에서 눈물 터지는 규민 모습들 #환승연애2,1762936,30227,418,0.4,0.4,0.2,2022-10-21T14:40:39Z
희두_나연,Mrmk6JhGHQo,촬영 중단시킨 희두나연 찐싸움 #극한투어,1377080,16372,1813,0.2,0.6,0.2,2024-09-30T06:29:59Z
희두_나연,tfQuozWOCpc,환승연애2 마지막화 - 나연에게 과했다는 걸 깨달은 희두 (우리의 염원이 희두에게 닿았습니다..!),1356030,8359,329,1.0,0.0,0.0,2022-10-28T15:15:40Z
희두_나연,mS_z7ha7diA,"[환승연애2] 희두 시선의 끝은 항상 나연이었다, 악귀 허스키의 감정선, 그는 투명한 두리구슬",1236669,10029,366,0.75,0.0,0.25,2022-11-09T20:23:35Z
해은_규민,zprlZXKh0U8,환승연애2🎀14화 갑자기 댄스 배틀하는 규민이랑 해은이ㅋㅋㅋ(feat  해은 아싸!),1221455,19340,271,0.6,0.2,0.2,2022-09-16T11:05:07Z
희두_나연,lEoIOJ458zo,환승연애2 마지막화 - 나연 “내가 행복하게 해줄게” 희두 “니가?”,1205785,4362,328,1.0,0.0,0.0,2022-10-28T12:06:32Z
희두_나연,PS-qS_wpU5A,[환승연애2] 나언 앞에서는 작아지는 현규 (희두와 나연에 빙의된 줄 ㅋㅋ)#transitlove2,1071686,4545,101,0.6,0.0,0.4,2022-10-24T10:13:44Z
해은_규민,Se1lgiU0q6s,환승연애2 최종선택 _ 규민과 마지막 눈맞춤 후 헝구 아니 현규에게 가는 해은,946719,8521,1022,0.6,0.2,0.2,2022-10-28T13:34:49Z
희두_나연,NP0Dc_fJFBo,개무서운 나연 ㄷ ㄷ #환승연애2 #나연희두,940925,9106,46,0.4,0.4,0.2,2022-09-11T02:52:05Z
희두_나연,KP3cWux2dN8,환승연애2 19화 / 희두 찐남동생 모먼트 .. 해은한정스윗남 (나연에게만 살쾡이 ㅠ),907832,4980,155,0.5,0.25,0.25,2022-10-21T07:56:00Z
희두_나연,HnBe40eDCQo,환승연애2 - 엄청 재밌게 사귀는 현커 희두나연,869462,6682,270,0.75,0.25,0.0,2022-10-28T14:52:27Z
희두_나연,Nc-qjlvJuvY,(SUB) 희두X나연이 말아주는 환승연애3 리뷰💕 l 문자에 연연하지 않은 희두(?)  l 재회라는 말도 웃겨,844341,10966,595,0.8,0.0,0.2,2024-03-28T11:35:00Z
해은_규민,ZooZU8RVx2E,[환승연애2]규민이랑 데이트 하고싶은 해은..?,727713,8617,56,0.2,0.6,0.2,2022-10-14T17:05:54Z
